Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,70000,100.0,0.0,100.0
2,Met filter,70000,100.0,0.0,100.0
3,! 4 object resolved,65932,94.2,5.8,94.2
4,"Lead lep tight, pt, eta, id, iso",61016,87.2,7.5,92.5
5,Trigger,59378,84.8,2.7,97.3
6,! m(ll) 60~150,59329,84.8,0.1,99.9
7,"fatjet pt eta sdm, dphi",35836,51.2,39.6,60.4
8,no more tight lep,35786,51.1,0.1,99.9
9,loose lep in fatjet pt eta pt eta ,33440,47.8,6.6,93.4
10,no of loose lep in fatjet ,33420,47.7,0.1,99.9
11,m(ll)> 200,33416,47.7,0.0,100.0
12,M(llJ) > 800,33188,47.4,0.7,99.3
